nombre_estacion,id_comuna
PLAZA SERGIO KARAKACHOFF,13
IRALA,13
AMANCIO ALCORTA,13
AV. LA PLATA,13
LUNA,13
PLAZA ALMIRANTE BROWN,13
PLAZA JOSE C PAZ,13
POMAR,13
SAENZ,13
PLAZOLETA COLOMBIA,13
CMD,13
PLAZA MATHEU,13
TILCARA,13
172 - BRASIL,13
307 - LEONARDO PEREYRA,13
331 - PLAZA HERRERA,13
298 - IRALA,13
343 - POMAR,13
140 - LAS CASAS,13
397 - PLAZA MATHEU,13
153 - JUAN MANUEL DE BLANES,13
021 - PARQUE PATRICIOS,13
196 - HOSPITAL ARGERICH,13
198 - HOSPITAL SARDÁ,13
006 - PARQUE LEZAMA,13
394 - AV. LA PLATA,13
155 - PARQUE JOSÉ EVARISTO URIBURU,13
073 - RUY DÍAZ DE GUZMÁN,13
340 - PLAZA NUEVA POMPEYA,13
139 - VIRREY LINIERS,13
176 - PINZÓN Y MARTÍN RODRIGUEZ,13
358 - PLAZA ALMIRANTE BROWN,13
126 - MINISTERIO DE JUSTICIA Y SEGURIDAD,13
107 - HOSPITAL GARRAHAN,13
138 - HOSPITAL BRITANICO,13
041 - URQUIZA Y RONDEAU,13
273 - PLAZOLETA COLOMBIA,13
341 - TILCARA,13
356 - PLAZA SERGIO KARAKACHOFF,13
342 - SAENZ,13
366 - PLAZA DIAZ VELEZ,13
387 - LUNA,13
105 - 15 DE NOVIEMBRE,13
339 - AMANCIO ALCORTA,13
092 - SALCEDO,13
357 - PLAZA MARTIN FIERRO,13
382 - CMD,13
388 - PLAZA JOSE C PAZ,13
321 - PERITO MORENO,13
108 - USINA DEL ARTE,13
331 - CALIFORNIA,13
316 - BUENOS AIRES,13
ESTADOS UNIDOS,14
COLEGIO NACIONAL BUENOS AIRES,14
LEGISLATURA,14
SOLÍS Y ALSINA,14
MARCELO T. DE ALVEAR,14
DIAGONAL NORTE,14
VERA PEÑALOZA,14
GALERÍAS PACÍFICO,14
INGENIERO BUTTY,14
INDEPENDENCIA,14
PLAZA LIBERTAD,14
MONTEVIDEO,14
CONSTITUCIÓN I,14
MINISTERIO DE ECONOMÍA,14
BELGRANO,14
MINISTERIO DE EDUCACIÓN,14
DELLA PAOLERA,14
FACULTAD DE DERECHO,14
AYACUCHO,14
CONSTITUCIÓN II,14
CARLOS CALVO,14
ARENALES,14
SUIPACHA,14
PERÓN,14
RETIRO,14
URUGUAY,14
LIMA,14
MORENO,14
CONGRESO II,14
CONGRESO,14
AZOPARDO Y CHILE,14
9 DE JULIO,14
RETIRO III,14
25 DE MAYO,14
CÓRDOBA,14
RETIRO II,14
HUMBERTO PRIMO,14
SARANDÍ,14
ALSINA,14
SARMIENTO,14
ESMERALDA,14
RICARDO ROJAS,14
JUANA MANSO,14
CORRIENTES,14
PLAZA ROMA,14
ESMERALDA Y CORRIENTES,14
RECONQUISTA,14
TALCAHUANO,14
TRIBUNALES,14
RIVAROLA,14
BOUCHARD,14
CATEDRAL,14
OBELISCO,14
RIVADAVIA Y 9 DE JULIO,14
SUIPACHA Y ARROYO,14
TUCUMÁN,14
PIEDRAS,14
PARANÁ,14
VENEZUELA,14
MAIPÚ,14
PLAZA SAN MARTÍN,14
VIRREY CEVALLOS,14
CERRITO,14
CONSTITUCIÓN,14
MADERO UCA,14
JUANA MANSO I,14
CHILE,14
RETIRO I,14
PEDRO ECHAGUE,14
MINISTERIO DE ECONOMIA,14
PARQUE DEL BAJO,14
JUANA MANSO II,14
MACACHA GUEMES,14
CENTRO DE EXPOSICIONES,14
AZUCENA VILLAFLOR,14
MINISTERIO DE EDUCACION,14
JULIETA LANTERI,14
PLAZA SAN MARTIN,14
AIME PAINÉ,14
COLEGIO NACIONAL DE BUENOS AIRES,14
FACULTAD DE INGENERIA,14
TUCUMAN,14
COLONIA EXPRESS,14
HUMBERTO 1°,14
PLAZA CECILIA GRIERSON,14
